dr_grade,recommendation
0,No diabetic damage detected. Aim for 30 minutes of physical activity daily to keep blood glucose stable.
0,No diabetic damage detected. Aim for 30 minutes of physical activity daily to keep blood glucose stable.
0,"Your eyes are currently healthy. Include leafy greens, omega-3s, and citrus fruits in your diet to support retinal health."
0,No diabetic damage detected. Aim for 30 minutes of physical activity daily to keep blood glucose stable.
0,Retina appears clear. Monitor your blood pressure regularly and avoid smoking to reduce future risks.
0,Your vision is in good shape. Stay hydrated and limit high-glycemic foods to prevent future complications.
0,No diabetic damage detected. Aim for 30 minutes of physical activity daily to keep blood glucose stable.
0,Retina appears clear. Monitor your blood pressure regularly and avoid smoking to reduce future risks.
0,No diabetic damage detected. Aim for 30 minutes of physical activity daily to keep blood glucose stable.
0,No signs of DR found. Maintain HbA1c below 7% and schedule annual dilated eye exams to stay on track.
0,No diabetic damage detected. Aim for 30 minutes of physical activity daily to keep blood glucose stable.
0,"Your eyes are currently healthy. Include leafy greens, omega-3s, and citrus fruits in your diet to support retinal health."
0,No diabetic damage detected. Aim for 30 minutes of physical activity daily to keep blood glucose stable.
1,Mild damage detected schedule an eye exam in 6 months and manage cholesterol to reduce progression risk.
1,Mild DR observed. Retinal microaneurysms are present tighten glycemic control and retest in 6�12 months.
1,Early signs of DR found. Consider using a continuous glucose monitor (CGM) for better daily control.
1,Tiny retinal changes noted. Reduce intake of processed carbs and increase fiber to stabilize blood sugar.
1,Mild damage detected schedule an eye exam in 6 months and manage cholesterol to reduce progression risk.
1,Mild damage detected schedule an eye exam in 6 months and manage cholesterol to reduce progression risk.
1,Some retinal changes seen. Take vitamin D and omega-3 supplements (under medical advice) to support eye health.
1,Mild damage detected schedule an eye exam in 6 months and manage cholesterol to reduce progression risk.
1,Mild damage detected schedule an eye exam in 6 months and manage cholesterol to reduce progression risk.
1,Mild damage detected schedule an eye exam in 6 months and manage cholesterol to reduce progression risk.
1,Tiny retinal changes noted. Reduce intake of processed carbs and increase fiber to stabilize blood sugar.
1,Mild DR observed. Retinal microaneurysms are present tighten glycemic control and retest in 6–12 months.
1,Some retinal changes seen. Take vitamin D and omega-3 supplements (under medical advice) to support eye health.
1,Mild damage detected schedule an eye exam in 6 months and manage cholesterol to reduce progression risk.
1,Early signs of DR found. Consider using a continuous glucose monitor (CGM) for better daily control.
1,Mild DR observed. Retinal microaneurysms are present tighten glycemic control and retest in 6–12 months.
1,Mild DR observed. Retinal microaneurysms are present tighten glycemic control and retest in 6–12 months.
1,Some retinal changes seen. Take vitamin D and omega-3 supplements (under medical advice) to support eye health.
1,Tiny retinal changes noted. Reduce intake of processed carbs and increase fiber to stabilize blood sugar.
1,Early signs of DR found. Consider using a continuous glucose monitor (CGM) for better daily control.
1,Some retinal changes seen. Take vitamin D and omega-3 supplements (under medical advice) to support eye health.
1,Tiny retinal changes noted. Reduce intake of processed carbs and increase fiber to stabilize blood sugar.
1,Mild DR observed. Retinal microaneurysms are present tighten glycemic control and retest in 6–12 months.
1,Tiny retinal changes noted. Reduce intake of processed carbs and increase fiber to stabilize blood sugar.
1,Mild DR observed. Retinal microaneurysms are present tighten glycemic control and retest in 6–12 months.
1,Early signs of DR found. Consider using a continuous glucose monitor (CGM) for better daily control.
1,Some retinal changes seen. Take vitamin D and omega-3 supplements (under medical advice) to support eye health.
1,Mild damage detected schedule an eye exam in 6 months and manage cholesterol to reduce progression risk.
1,Early signs of DR found. Consider using a continuous glucose monitor (CGM) for better daily control.
1,Mild damage detected schedule an eye exam in 6 months and manage cholesterol to reduce progression risk.
1,Early signs of DR found. Consider using a continuous glucose monitor (CGM) for better daily control.
1,Some retinal changes seen. Take vitamin D and omega-3 supplements (under medical advice) to support eye health.
1,Tiny retinal changes noted. Reduce intake of processed carbs and increase fiber to stabilize blood sugar.
1,Mild damage detected schedule an eye exam in 6 months and manage cholesterol to reduce progression risk.
1,Mild DR observed. Retinal microaneurysms are present tighten glycemic control and retest in 6–12 months.
1,Mild DR observed. Retinal microaneurysms are present tighten glycemic control and retest in 6–12 months.
1,Mild damage detected schedule an eye exam in 6 months and manage cholesterol to reduce progression risk.
1,Mild DR observed. Retinal microaneurysms are present tighten glycemic control and retest in 6–12 months.
1,Mild DR observed. Retinal microaneurysms are present tighten glycemic control and retest in 6–12 months.
1,Mild damage detected schedule an eye exam in 6 months and manage cholesterol to reduce progression risk.
1,Tiny retinal changes noted. Reduce intake of processed carbs and increase fiber to stabilize blood sugar.
1,Early signs of DR found. Consider using a continuous glucose monitor (CGM) for better daily control.
1,Mild DR observed. Retinal microaneurysms are present tighten glycemic control and retest in 6–12 months.
1,Mild damage detected schedule an eye exam in 6 months and manage cholesterol to reduce progression risk.
1,Some retinal changes seen. Take vitamin D and omega-3 supplements (under medical advice) to support eye health.
1,Tiny retinal changes noted. Reduce intake of processed carbs and increase fiber to stabilize blood sugar.
1,Early signs of DR found. Consider using a continuous glucose monitor (CGM) for better daily control.
1,Mild DR observed. Retinal microaneurysms are present tighten glycemic control and retest in 6–12 months.
1,Tiny retinal changes noted. Reduce intake of processed carbs and increase fiber to stabilize blood sugar.
1,Mild damage detected schedule an eye exam in 6 months and manage cholesterol to reduce progression risk.
2,"Mid-stage damage found. Maintain tight glucose, BP (<140/90), and LDL cholesterol control to reduce worsening."
2,Moderate DR observed. Limit sodium intake and follow a DASH or Mediterranean diet to reduce systemic risk.
2,Moderate DR identified. Retinal hemorrhages present consult your ophthalmologist to monitor for macular edema.
2,Moderate DR identified. Retinal hemorrhages present consult your ophthalmologist to monitor for macular edema.
2,There’s noticeable retinal damage. Monitor vision weekly using an Amsler grid and report any distortions.
2,Moderate DR identified. Retinal hemorrhages present consult your ophthalmologist to monitor for macular edema.
2,"Mid-stage damage found. Maintain tight glucose, BP (<140/90), and LDL cholesterol control to reduce worsening."
2,Your retina shows exudates and vascular changes. Ask about anti-VEGF treatments if vision begins to blur.
2,Your retina shows exudates and vascular changes. Ask about anti-VEGF treatments if vision begins to blur.
2,Moderate DR identified. Retinal hemorrhages present consult your ophthalmologist to monitor for macular edema.
2,"Mid-stage damage found. Maintain tight glucose, BP (<140/90), and LDL cholesterol control to reduce worsening."
2,Your retina shows exudates and vascular changes. Ask about anti-VEGF treatments if vision begins to blur.
2,"Mid-stage damage found. Maintain tight glucose, BP (<140/90), and LDL cholesterol control to reduce worsening."
2,Moderate DR observed. Limit sodium intake and follow a DASH or Mediterranean diet to reduce systemic risk.
2,Your retina shows exudates and vascular changes. Ask about anti-VEGF treatments if vision begins to blur.
2,Moderate DR observed. Limit sodium intake and follow a DASH or Mediterranean diet to reduce systemic risk.
2,There’s noticeable retinal damage. Monitor vision weekly using an Amsler grid and report any distortions.
2,"Mid-stage damage found. Maintain tight glucose, BP (<140/90), and LDL cholesterol control to reduce worsening."
2,Your retina shows exudates and vascular changes. Ask about anti-VEGF treatments if vision begins to blur.
2,Your retina shows exudates and vascular changes. Ask about anti-VEGF treatments if vision begins to blur.
2,Moderate DR observed. Limit sodium intake and follow a DASH or Mediterranean diet to reduce systemic risk.
2,Your retina shows exudates and vascular changes. Ask about anti-VEGF treatments if vision begins to blur.
2,Moderate DR observed. Limit sodium intake and follow a DASH or Mediterranean diet to reduce systemic risk.
2,Your retina shows exudates and vascular changes. Ask about anti-VEGF treatments if vision begins to blur.
2,There’s noticeable retinal damage. Monitor vision weekly using an Amsler grid and report any distortions.
2,Moderate DR observed. Limit sodium intake and follow a DASH or Mediterranean diet to reduce systemic risk.
2,"Mid-stage damage found. Maintain tight glucose, BP (<140/90), and LDL cholesterol control to reduce worsening."
2,There’s noticeable retinal damage. Monitor vision weekly using an Amsler grid and report any distortions.
2,"Mid-stage damage found. Maintain tight glucose, BP (<140/90), and LDL cholesterol control to reduce worsening."
2,There’s noticeable retinal damage. Monitor vision weekly using an Amsler grid and report any distortions.
2,Moderate DR identified. Retinal hemorrhages present consult your ophthalmologist to monitor for macular edema.
2,Moderate DR observed. Limit sodium intake and follow a DASH or Mediterranean diet to reduce systemic risk.
2,Moderate DR observed. Limit sodium intake and follow a DASH or Mediterranean diet to reduce systemic risk.
2,Your retina shows exudates and vascular changes. Ask about anti-VEGF treatments if vision begins to blur.
2,Moderate DR identified. Retinal hemorrhages present consult your ophthalmologist to monitor for macular edema.
2,"Mid-stage damage found. Maintain tight glucose, BP (<140/90), and LDL cholesterol control to reduce worsening."
2,"Mid-stage damage found. Maintain tight glucose, BP (<140/90), and LDL cholesterol control to reduce worsening."
2,There’s noticeable retinal damage. Monitor vision weekly using an Amsler grid and report any distortions.
2,Your retina shows exudates and vascular changes. Ask about anti-VEGF treatments if vision begins to blur.
2,"Mid-stage damage found. Maintain tight glucose, BP (<140/90), and LDL cholesterol control to reduce worsening."
2,Moderate DR identified. Retinal hemorrhages present consult your ophthalmologist to monitor for macular edema.
2,Moderate DR observed. Limit sodium intake and follow a DASH or Mediterranean diet to reduce systemic risk.
2,"Mid-stage damage found. Maintain tight glucose, BP (<140/90), and LDL cholesterol control to reduce worsening."
2,Moderate DR identified. Retinal hemorrhages present consult your ophthalmologist to monitor for macular edema.
2,There’s noticeable retinal damage. Monitor vision weekly using an Amsler grid and report any distortions.
2,"Mid-stage damage found. Maintain tight glucose, BP (<140/90), and LDL cholesterol control to reduce worsening."
2,There’s noticeable retinal damage. Monitor vision weekly using an Amsler grid and report any distortions.
2,Your retina shows exudates and vascular changes. Ask about anti-VEGF treatments if vision begins to blur.
2,Moderate DR observed. Limit sodium intake and follow a DASH or Mediterranean diet to reduce systemic risk.
2,"Mid-stage damage found. Maintain tight glucose, BP (<140/90), and LDL cholesterol control to reduce worsening."
3,Severe DR stage. Avoid lifting heavy weights and manage stress to prevent sudden retinal bleeds.
3,Severe DR stage. Avoid lifting heavy weights and manage stress to prevent sudden retinal bleeds.
3,There’s significant ischemia in the retina. Ask your doctor about intravitreal steroid or anti-VEGF options.
3,Severe DR detected large retinal blockages may be forming. Urgent retinal specialist visit is advised.
3,You’re at risk for vision-threatening complications like neovascularization. Consider fluorescein angiography evaluation.
3,You’re at risk for vision-threatening complications like neovascularization. Consider fluorescein angiography evaluation.
3,You’re at risk for vision-threatening complications like neovascularization. Consider fluorescein angiography evaluation.
3,Severe non-proliferative DR present. Laser photocoagulation might be needed; act early to preserve vision.
3,There’s significant ischemia in the retina. Ask your doctor about intravitreal steroid or anti-VEGF options.
3,You’re at risk for vision-threatening complications like neovascularization. Consider fluorescein angiography evaluation.
3,There’s significant ischemia in the retina. Ask your doctor about intravitreal steroid or anti-VEGF options.
3,Severe DR stage. Avoid lifting heavy weights and manage stress to prevent sudden retinal bleeds.
3,Severe DR stage. Avoid lifting heavy weights and manage stress to prevent sudden retinal bleeds.
3,Severe DR detected large retinal blockages may be forming. Urgent retinal specialist visit is advised.
3,There’s significant ischemia in the retina. Ask your doctor about intravitreal steroid or anti-VEGF options.
3,Severe non-proliferative DR present. Laser photocoagulation might be needed; act early to preserve vision.
3,Severe non-proliferative DR present. Laser photocoagulation might be needed; act early to preserve vision.
3,You’re at risk for vision-threatening complications like neovascularization. Consider fluorescein angiography evaluation.
3,There’s significant ischemia in the retina. Ask your doctor about intravitreal steroid or anti-VEGF options.
3,You’re at risk for vision-threatening complications like neovascularization. Consider fluorescein angiography evaluation.
3,There’s significant ischemia in the retina. Ask your doctor about intravitreal steroid or anti-VEGF options.
3,Severe DR stage. Avoid lifting heavy weights and manage stress to prevent sudden retinal bleeds.
3,Severe DR detected large retinal blockages may be forming. Urgent retinal specialist visit is advised.
3,Severe DR stage. Avoid lifting heavy weights and manage stress to prevent sudden retinal bleeds.
3,Severe non-proliferative DR present. Laser photocoagulation might be needed; act early to preserve vision.
3,Severe DR stage. Avoid lifting heavy weights and manage stress to prevent sudden retinal bleeds.
3,Severe non-proliferative DR present. Laser photocoagulation might be needed; act early to preserve vision.
3,You’re at risk for vision-threatening complications like neovascularization. Consider fluorescein angiography evaluation.
3,Severe DR stage. Avoid lifting heavy weights and manage stress to prevent sudden retinal bleeds.
3,Severe non-proliferative DR present. Laser photocoagulation might be needed; act early to preserve vision.
3,Severe DR stage. Avoid lifting heavy weights and manage stress to prevent sudden retinal bleeds.
3,Severe DR stage. Avoid lifting heavy weights and manage stress to prevent sudden retinal bleeds.
3,There’s significant ischemia in the retina. Ask your doctor about intravitreal steroid or anti-VEGF options.
3,You’re at risk for vision-threatening complications like neovascularization. Consider fluorescein angiography evaluation.
3,Severe non-proliferative DR present. Laser photocoagulation might be needed; act early to preserve vision.
3,Severe non-proliferative DR present. Laser photocoagulation might be needed; act early to preserve vision.
3,Severe non-proliferative DR present. Laser photocoagulation might be needed; act early to preserve vision.
3,Severe non-proliferative DR present. Laser photocoagulation might be needed; act early to preserve vision.
3,There’s significant ischemia in the retina. Ask your doctor about intravitreal steroid or anti-VEGF options.
3,You’re at risk for vision-threatening complications like neovascularization. Consider fluorescein angiography evaluation.
3,Severe DR detected large retinal blockages may be forming. Urgent retinal specialist visit is advised.
3,Severe DR detected large retinal blockages may be forming. Urgent retinal specialist visit is advised.
3,There’s significant ischemia in the retina. Ask your doctor about intravitreal steroid or anti-VEGF options.
3,Severe non-proliferative DR present. Laser photocoagulation might be needed; act early to preserve vision.
3,Severe DR stage. Avoid lifting heavy weights and manage stress to prevent sudden retinal bleeds.
3,Severe DR detected large retinal blockages may be forming. Urgent retinal specialist visit is advised.
3,There’s significant ischemia in the retina. Ask your doctor about intravitreal steroid or anti-VEGF options.
3,Severe DR stage. Avoid lifting heavy weights and manage stress to prevent sudden retinal bleeds.
3,There’s significant ischemia in the retina. Ask your doctor about intravitreal steroid or anti-VEGF options.
3,Severe DR stage. Avoid lifting heavy weights and manage stress to prevent sudden retinal bleeds.
4,Advanced stage DR observed. Risk of vitreous hemorrhage or retinal detachment is high act quickly.
4,This stage may involve traction on the retina. Vitrectomy may be considered depending on visual symptoms.
4,Proliferative DR found new fragile blood vessels detected. Immediate laser or injection therapy may be necessary.
4,Proliferative DR found new fragile blood vessels detected. Immediate laser or injection therapy may be necessary.
4,Advanced stage DR observed. Risk of vitreous hemorrhage or retinal detachment is high act quickly.
4,This level requires close coordination with an ophthalmologist. Follow up every 1–2 months until stabilized.
4,Proliferative changes noted. Watch for sudden floaters or vision loss and report them immediately.
4,This stage may involve traction on the retina. Vitrectomy may be considered depending on visual symptoms.
4,This stage may involve traction on the retina. Vitrectomy may be considered depending on visual symptoms.
4,This stage may involve traction on the retina. Vitrectomy may be considered depending on visual symptoms.
4,Advanced stage DR observed. Risk of vitreous hemorrhage or retinal detachment is high act quickly.
4,Advanced stage DR observed. Risk of vitreous hemorrhage or retinal detachment is high act quickly.
4,This level requires close coordination with an ophthalmologist. Follow up every 1–2 months until stabilized.
4,Proliferative changes noted. Watch for sudden floaters or vision loss and report them immediately.
4,Proliferative changes noted. Watch for sudden floaters or vision loss and report them immediately.
4,Proliferative changes noted. Watch for sudden floaters or vision loss and report them immediately.
4,Advanced stage DR observed. Risk of vitreous hemorrhage or retinal detachment is high act quickly.
4,This stage may involve traction on the retina. Vitrectomy may be considered depending on visual symptoms.
4,Proliferative changes noted. Watch for sudden floaters or vision loss and report them immediately.
4,Advanced stage DR observed. Risk of vitreous hemorrhage or retinal detachment is high act quickly.
4,Proliferative DR found new fragile blood vessels detected. Immediate laser or injection therapy may be necessary.
4,This level requires close coordination with an ophthalmologist. Follow up every 1–2 months until stabilized.
4,Advanced stage DR observed. Risk of vitreous hemorrhage or retinal detachment is high act quickly.
4,Proliferative DR found new fragile blood vessels detected. Immediate laser or injection therapy may be necessary.
4,Proliferative DR found new fragile blood vessels detected. Immediate laser or injection therapy may be necessary.
4,Advanced stage DR observed. Risk of vitreous hemorrhage or retinal detachment is high act quickly.
4,Advanced stage DR observed. Risk of vitreous hemorrhage or retinal detachment is high act quickly.
4,This level requires close coordination with an ophthalmologist. Follow up every 1–2 months until stabilized.
4,This level requires close coordination with an ophthalmologist. Follow up every 1–2 months until stabilized.
4,Proliferative changes noted. Watch for sudden floaters or vision loss and report them immediately.
4,This level requires close coordination with an ophthalmologist. Follow up every 1–2 months until stabilized.
4,Proliferative changes noted. Watch for sudden floaters or vision loss and report them immediately.
4,Proliferative DR found new fragile blood vessels detected. Immediate laser or injection therapy may be necessary.
4,Proliferative DR found new fragile blood vessels detected. Immediate laser or injection therapy may be necessary.
4,Advanced stage DR observed. Risk of vitreous hemorrhage or retinal detachment is high act quickly.
4,Proliferative DR found new fragile blood vessels detected. Immediate laser or injection therapy may be necessary.
4,Advanced stage DR observed. Risk of vitreous hemorrhage or retinal detachment is high act quickly.
4,This stage may involve traction on the retina. Vitrectomy may be considered depending on visual symptoms.
4,Proliferative changes noted. Watch for sudden floaters or vision loss and report them immediately.
4,Proliferative changes noted. Watch for sudden floaters or vision loss and report them immediately.
4,This stage may involve traction on the retina. Vitrectomy may be considered depending on visual symptoms.
4,Advanced stage DR observed. Risk of vitreous hemorrhage or retinal detachment is high act quickly.
4,This stage may involve traction on the retina. Vitrectomy may be considered depending on visual symptoms.
4,Proliferative DR found new fragile blood vessels detected. Immediate laser or injection therapy may be necessary.
4,Advanced stage DR observed. Risk of vitreous hemorrhage or retinal detachment is high act quickly.
4,This stage may involve traction on the retina. Vitrectomy may be considered depending on visual symptoms.
4,Advanced stage DR observed. Risk of vitreous hemorrhage or retinal detachment is high act quickly.
4,Proliferative changes noted. Watch for sudden floaters or vision loss and report them immediately.
4,Advanced stage DR observed. Risk of vitreous hemorrhage or retinal detachment is high act quickly.
4,Proliferative changes noted. Watch for sudden floaters or vision loss and report them immediately.
